attrition,gender,birthday,age,staff_category,stock_options,job_title,hire_date,performance_rating,employee_satisfaction,last_promotion_date,recent_salary,prior_salary,last_raise,commute_distance,percent_travel,marital_status,education,employee_id
No,male,1959-09-02,59,Salaried,Not Eligible,Newspaper Editor-in-Chief,2014-07-01,A,31,2018-03-08,158975,145848,13127,38,72,Single,Graduate Degree,2001471061
No,female,1965-12-05,53,Salaried,Not Eligible,Facilities & Building Manager,2005-09-20,C,35,2017-12-09,135190,125175,10015,32,93,Single,PhD,2001471062
No,male,1979-03-18,40,Salaried,Eligible,Engineer Facilities Layout,2004-11-10,D,75,2014-10-14,150110,141613,8497,0,46,Married,Graduate Degree,2001471063
No,female,1980-03-01,39,Salaried,Not Eligible,Women's Apparel Salesperson,2013-06-04,A,72,2018-01-30,160265,143093,17172,16,18,Single,Bachelors Degree,2001471064
Yes,male,1974-09-01,44,Hourly,Not Eligible,Product Safety Engineer,2006-03-22,B,39,2017-06-12,116863,110248,6615,29,95,Married,Some College,2001471065
No,female,1969-01-17,50,Salaried,Not Eligible,IT Field Representative,2017-04-07,A,69,2015-10-15,172459,159684,12775,20,41,Single,Some College,2001471066
No,female,1979-03-11,40,Salaried,Not Eligible,Maintenance Helper,2004-03-30,A,43,2014-01-21,65816,60940,4876,3,23,Married,Graduate Degree,2001471067
Yes,female,1972-12-26,46,Salaried,Not Eligible,Dean of Students,2018-05-23,A,38,2016-08-02,195400,182616,12784,14,90,Single,Some College,2001471068
Yes,female,1973-03-09,46,Hourly,Not Eligible,Medical Orthoptist,2006-04-14,A,57,2016-04-24,134292,134292,0,13,26,Married,PhD,2001471069
No,female,1961-03-19,58,Salaried,Not Eligible,Platemaker Lithographic,2008-04-25,A,50,2017-11-04,194592,170694,23898,29,81,Married,Graduate Degree,2001471070
No,male,1983-08-09,35,Hourly,Not Eligible,Bonding Agent,2003-12-21,B,76,2014-11-11,191708,166702,25006,27,93,Married,Graduate Degree,2001471071
No,male,1961-07-29,57,Hourly,Not Eligible,School Secretary,2008-04-07,C,46,2016-07-29,121682,119296,2386,28,31,Married,PhD,2001471072
No,male,1958-10-09,60,Hourly,Not Eligible,Sales Representative Hotel,2004-01-29,B,61,2013-10-09,143976,143976,0,24,36,Married,PhD,2001471073
No,female,1970-12-30,48,Salaried,Not Eligible,Chiropractor,2012-10-15,C,50,2013-06-21,157869,140954,16915,4,87,Single,Graduate Degree,2001471074
No,female,1982-02-17,37,Hourly,Not Eligible,Analyst Logistics,2012-05-31,D,31,2014-10-06,156615,156615,0,31,75,Married,Some College,2001471075
Yes,male,1982-06-27,36,Salaried,Not Eligible,Biomedical Engineer,2016-02-13,C,32,2013-06-12,167263,159298,7965,30,67,Married,PhD,2001471076
Yes,male,1970-04-22,49,Salaried,Eligible,Distribution Supervisor,2017-10-29,A,76,2018-03-31,175057,160602,14455,14,19,Single,Bachelors Degree,2001471077
No,female,1959-09-23,59,Salaried,Not Eligible,Medical School Nurse,2015-06-15,B,98,2015-06-17,194852,194852,0,28,63,Married,PhD,2001471078
No,male,1962-07-28,56,Salaried,Not Eligible,Principal Headmaster,2013-01-11,B,98,2015-07-02,147078,147078,0,3,54,Single,PhD,2001471079
Yes,male,1972-05-19,47,Salaried,Not Eligible,Salary & Wage Analyst,2015-08-24,B,83,2015-11-28,194109,186643,7466,33,64,Married,Bachelors Degree,2001471080
No,female,1978-01-03,41,Salaried,Not Eligible,IT Telecommunications Technician,2017-03-01,D,85,2017-06-19,85707,82410,3297,17,86,Single,Bachelors Degree,2001471081
No,male,1959-07-29,59,Salaried,Not Eligible,Sales Trader Securities,2015-03-11,D,100,2014-09-03,128691,126167,2524,15,13,Married,Graduate Degree,2001471082
No,female,1960-07-19,58,Hourly,Not Eligible,Instructor Business Education,2007-08-18,B,93,2016-12-18,196023,176597,19426,0,24,Single,Graduate Degree,2001471083
Yes,male,1970-11-19,48,Hourly,Not Eligible,Accounts Receivable Supervisor,2016-10-29,A,73,2013-10-21,109283,105079,4204,39,54,Single,Some College,2001471084
