attrition,gender,birthday,age,staff_category,stock_options,job_title,hire_date,performance_rating,employee_satisfaction,last_promotion_date,recent_salary,prior_salary,last_raise,commute_distance,percent_travel,marital_status,education,employee_id
No,female,22-02-1964,55,Salaried,Not Eligible,Advertising Account Executive,11-03-2018,C,32,16-03-2016,54258,54258,0,5,97,Single,Bachelors Degree,2001471127
Yes,male,16-06-1964,55,Hourly,Not Eligible,Volunteers Head,01-02-2016,A,91,04-09-2017,198828,189360,9468,34,81,Single,PhD,2001471128
No,male,30-04-1969,50,Salaried,Not Eligible,Hoist & Winch Operator,04-05-2006,C,72,25-11-2016,82534,82534,0,29,100,Married,PhD,2001471129
Yes,female,03-04-1963,56,Salaried,Not Eligible,Engineer Quality Control,12-04-2008,A,99,26-04-2017,160753,159161,1592,22,36,Married,PhD,2001471130
Yes,female,20-12-1977,41,Salaried,Not Eligible,Supervisor Painting,26-09-2014,C,58,31-08-2016,134849,130921,3928,9,60,Single,PhD,2001471131
Yes,male,15-11-1965,53,Hourly,Not Eligible,Employee Relations Specialist,02-02-2005,C,56,12-08-2015,140117,129737,10380,3,50,Married,Some College,2001471132
No,female,30-01-1984,35,Hourly,Not Eligible,Physical Therapy Head,01-02-2018,C,59,04-04-2015,96458,92748,3710,2,44,Married,Bachelors Degree,2001471133
No,female,22-02-1976,43,Hourly,Not Eligible,Laser Technician,12-04-2018,D,75,29-06-2017,168630,160600,8030,18,75,Married,Bachelors Degree,2001471134
No,female,09-02-1983,36,Hourly,Not Eligible,Engineer Value,22-08-2004,D,84,11-08-2014,131422,120570,10852,25,69,Single,Bachelors Degree,2001471135
No,female,20-05-1967,52,Hourly,Eligible,Technician Publishing,07-07-2012,B,64,15-06-2014,95317,87446,7871,11,19,Married,Bachelors Degree,2001471136
No,female,15-01-1978,41,Salaried,Not Eligible,PC Supervisor,17-11-2005,A,68,29-07-2015,155782,142919,12863,36,76,Single,Some College,2001471137
Yes,female,27-11-1969,49,Salaried,Not Eligible,Banking Customer Service Representative,12-04-2009,D,44,04-03-2015,197016,174350,22666,6,75,Single,Bachelors Degree,2001471138
No,male,26-01-1979,40,Salaried,Not Eligible,Supervisor Graphic,13-08-2009,A,45,18-10-2013,83242,80040,3202,9,75,Married,Some College,2001471139
Yes,male,02-06-1975,44,Salaried,Not Eligible,IT Data Control Supervisor,18-09-2012,A,95,14-11-2016,150765,133420,17345,12,64,Married,PhD,2001471140
No,male,29-01-1983,36,Salaried,Not Eligible,Recreation Supervisor,21-11-2007,A,91,18-08-2014,76290,73355,2935,30,32,Married,Graduate Degree,2001471141
No,female,26-12-1983,35,Salaried,Not Eligible,Brewing Superintendent,23-04-2012,D,99,14-10-2015,197075,172872,24203,21,17,Married,Some College,2001471142
Yes,female,23-10-1969,49,Salaried,Eligible,Coach Operator,14-12-2012,C,65,16-03-2015,110830,107601,3229,38,22,Married,Graduate Degree,2001471143
Yes,male,15-09-1982,36,Hourly,Not Eligible,Locksmith,14-11-2014,A,80,02-10-2013,86093,78266,7827,39,82,Married,PhD,2001471144
No,female,02-06-1964,55,Salaried,Not Eligible,Medical Podiatrist,17-04-2018,B,93,22-07-2014,188011,174084,13927,20,89,Married,PhD,2001471145
No,female,30-11-1973,45,Salaried,Eligible,Systems Analysis Manager,19-07-2008,A,67,17-06-2017,138524,131927,6597,31,65,Married,Some College,2001471146
Yes,female,22-12-1967,51,Salaried,Not Eligible,Information Technology Supervisor Data Entry,22-09-2016,B,47,09-01-2016,180307,180307,0,11,97,Married,PhD,2001471147
Yes,male,28-01-1980,39,Salaried,Not Eligible,Drywall Installer,13-07-2006,D,65,20-04-2015,118048,110325,7723,0,86,Married,PhD,2001471148
Yes,male,19-11-1972,46,Salaried,Not Eligible,Junior Clerk,06-07-2006,D,75,09-11-2013,101930,96160,5770,1,68,Married,PhD,2001471149
No,female,04-08-1971,47,Salaried,Not Eligible,Rehabilitation Clerk,25-03-2018,B,61,31-12-2017,89120,89120,0,42,85,Single,Bachelors Degree,2001471150
No,female,04-05-1981,38,Salaried,Eligible,CAD/CAM/CAE Technician,17-05-2015,C,66,08-12-2017,61715,61103,612,4,97,Married,PhD,2001471151
Yes,male,22-06-1965,53,Salaried,Eligible,Quality Control Technician,28-09-2005,C,47,15-10-2015,75457,69226,6231,16,33,Married,Graduate Degree,2001471152
No,male,05-10-1965,53,Hourly,Not Eligible,Manager Mental Health,13-07-2010,D,76,27-02-2017,69387,69387,0,1,16,Married,Some College,2001471153
No,male,12-10-1970,48,Salaried,Not Eligible,Safety Supervisor,30-05-2009,C,57,06-06-2017,66744,63565,3179,9,98,Single,Graduate Degree,2001471154
No,female,06-01-1974,45,Hourly,Not Eligible,Legal Manager,23-05-2011,A,85,09-04-2014,61819,61819,0,30,92,Single,Graduate Degree,2001471155
No,female,31-05-1974,45,Hourly,Not Eligible,Administrator Benefits,08-04-2017,A,35,20-02-2014,146544,132021,14523,25,25,Single,Bachelors Degree,2001471156
Yes,male,14-10-1978,40,Salaried,Not Eligible,Contract/Buyer Specialist 2,14-04-2011,A,46,05-12-2015,62019,58508,3511,25,88,Married,Graduate Degree,2001471157
Yes,female,13-06-1963,56,Salaried,Eligible,Engineer Traffic,09-08-2007,A,87,23-02-2016,65203,58741,6462,3,66,Married,PhD,2001471158
No,male,29-08-1971,47,Salaried,Not Eligible,Loan Collector Consumer,12-01-2015,C,99,03-11-2016,173313,150706,22607,31,17,Married,Some College,2001471159
Yes,male,29-10-1963,55,Hourly,Not Eligible,Fast Food Assistant Manager,02-05-2009,B,68,22-09-2014,136078,121498,14580,38,84,Single,Graduate Degree,2001471160
No,male,08-08-1971,47,Hourly,Not Eligible,Storekeeper,15-03-2015,A,80,25-12-2017,162189,148797,13392,40,76,Single,Graduate Degree,2001471161
Yes,male,02-07-1966,52,Salaried,Not Eligible,Supervisor Operations Generic,01-09-2005,D,43,31-03-2014,100848,100848,0,21,60,Married,Graduate Degree,2001471162
No,female,04-12-1969,49,Salaried,Not Eligible,Illustrator Technical,19-10-2016,A,71,11-02-2017,93857,93857,0,5,12,Single,Bachelors Degree,2001471163
No,male,27-08-1968,50,Salaried,Not Eligible,Biophysicist,22-01-2010,D,99,08-11-2016,127852,114153,13699,7,97,Married,PhD,2001471164
